,msg_id,from_id,from_username,from_name,group_id,chat_name,msg_text,day_timestamp,year,month,day,hour,minute,second
0,2104,1670797339,Chew13,Aleksandr Chuprin,1935491788,[a23] Машинное обучение (ML),а кр в какой срок проверят?,1705093200.0,2024,1,13,17,3,48
1,2103,5164845558,mariya_math,Maria,1935491788,[a23] Машинное обучение (ML),"Возможно, сегодня-завтра",1705093200.0,2024,1,13,9,20,27
2,2102,497800113,DDmmiittrryy,Dmitry Shiltsov 🇪🇸 🇷🇺 🏴‍☠,1935491788,[a23] Машинное обучение (ML),И про проверку предыдущих вопрос - будут ли и когда планируется? без обратной связи сложно понимать ситуацию,1705093200.0,2024,1,13,8,24,10
3,2101,347086205,yzapket,Nick,1935491788,[a23] Машинное обучение (ML),а когда будет следующая домашка?),1705093200.0,2024,1,13,8,21,3
4,2100,497800113,DDmmiittrryy,Dmitry Shiltsov 🇪🇸 🇷🇺 🏴‍☠,1935491788,[a23] Машинное обучение (ML),Обленились :) (так всегда старшее поколение про более свежее говорит) нам тоже тогда так говорили что при Сталине бы нас БАМ строить отправили бы :),1705006800.0,2024,1,12,16,40,44
5,2099,271928769,rya_imperec,Anton,1935491788,[a23] Машинное обучение (ML),"У нас в десятые тож, только я ни разу бомб не видел, только разговоры о них)",1705006800.0,2024,1,12,16,37,57
6,2098,497800113,DDmmiittrryy,Dmitry Shiltsov 🇪🇸 🇷🇺 🏴‍☠,1935491788,[a23] Машинное обучение (ML),Отличие бомбы от шпоры. Со шпоры списывают а бомбу просто достают из широких штанин. Ну у нас в 90-е по крайней мере такая была терминология.,1705006800.0,2024,1,12,16,25,16
7,2097,263945854,mzekhov,Матвей Зехов,1935491788,[a23] Машинное обучение (ML),Скинул в лс,1705006800.0,2024,1,12,15,39,29
8,2096,335574223,steelrat1997,Константин Кондрашов,1935491788,[a23] Машинное обучение (ML),"Я не знаю, кто проктор(( Я в общий чат написал, но ничего не произошло. Комната 3",1705006800.0,2024,1,12,15,38,19
9,2095,263945854,mzekhov,Матвей Зехов,1935491788,[a23] Машинное обучение (ML),Да. Попросите проктора,1705006800.0,2024,1,12,15,35,32
10,2094,335574223,steelrat1997,Константин Кондрашов,1935491788,[a23] Машинное обучение (ML),Его в чате в зуме должны скинуть?,1705006800.0,2024,1,12,15,34,35
11,2093,335574223,steelrat1997,Константин Кондрашов,1935491788,[a23] Машинное обучение (ML),"Я зашёл в конференцию, но мне не скинули задание, или я не вижу, куда мне его скинули",1705006800.0,2024,1,12,15,34,18
12,2092,5164845558,mariya_math,Maria,1935491788,[a23] Машинное обучение (ML),Экзамен будет тоже не блокирующим,1705006800.0,2024,1,12,14,52,14
13,2091,486191407,p433w0rd,Nikita Kirillov,1935491788,[a23] Машинное обучение (ML),"Такое обычно не вводят, так как больно жёстко
Но в вышке так можно",1705006800.0,2024,1,12,14,51,58
14,2090,486191407,p433w0rd,Nikita Kirillov,1935491788,[a23] Машинное обучение (ML),Я всего раз с таким на баке сталкивался,1705006800.0,2024,1,12,14,51,24
15,2089,5036101925,vadim_mipt,Vadim S,1935491788,[a23] Машинное обучение (ML),Перу,1705006800.0,2024,1,12,14,51,21
16,2088,5036101925,vadim_mipt,Vadim S,1935491788,[a23] Машинное обучение (ML),Лооол,1705006800.0,2024,1,12,14,51,14
17,2087,5036101925,vadim_mipt,Vadim S,1935491788,[a23] Машинное обучение (ML),А про экзамен также,1705006800.0,2024,1,12,14,50,57
18,2086,5036101925,vadim_mipt,Vadim S,1935491788,[a23] Машинное обучение (ML),Фига се,1705006800.0,2024,1,12,14,50,53
19,2085,486191407,p433w0rd,Nikita Kirillov,1935491788,[a23] Машинное обучение (ML),"Простыми словами, если бы кр была блокирующей, и студент получил за неё 4, выше 4 за курс нельзя получить",1705006800.0,2024,1,12,14,50,38
20,2084,486191407,p433w0rd,Nikita Kirillov,1935491788,[a23] Машинное обучение (ML),"Блокирующий элемент контроля — такой элемент контроля, что финальная оценка за курс не может превышать оценку за него",1705006800.0,2024,1,12,14,49,32
21,2083,263945854,mzekhov,Матвей Зехов,1935491788,[a23] Машинное обучение (ML),"Также необходимо переименоваться в зуме своим настоящим именем и фамилией. Те, кого мы не сможем идентифицировать, получат 0.",1705006800.0,2024,1,12,14,48,55
22,2082,5155063614,ma9ickise,Магомед М,1935491788,[a23] Машинное обучение (ML),я запрещаю вам расстраиваться,1705006800.0,2024,1,12,14,48,17
23,2081,271928769,rya_imperec,Anton,1935491788,[a23] Машинное обучение (ML),"ее нельзя пересдать, не должна",1705006800.0,2024,1,12,14,48,5
24,2080,237028854,assolkubaeva,Ассоль Кубаева,1935491788,[a23] Машинное обучение (ML),Нет,1705006800.0,2024,1,12,14,47,53
25,2079,5036101925,vadim_mipt,Vadim S,1935491788,[a23] Машинное обучение (ML),Это что такое,1705006800.0,2024,1,12,14,47,19
26,2078,263945854,mzekhov,Матвей Зехов,1935491788,[a23] Машинное обучение (ML),Расстраиваться можно только мне,1705006800.0,2024,1,12,14,47,3
27,2077,262511011,salnikovev,Evgeniy Salnikov,1935491788,[a23] Машинное обучение (ML),Заходить и расстраиваться и выходить),1705006800.0,2024,1,12,14,46,50
28,2076,486191407,p433w0rd,Nikita Kirillov,1935491788,[a23] Машинное обучение (ML),"Добрый вечер!
На всякий случай, кр ведь не блокирующая относительно итоговой оценки за курс?",1705006800.0,2024,1,12,14,46,47
29,2075,263945854,mzekhov,Матвей Зехов,1935491788,[a23] Машинное обучение (ML),"Уже можно заходить и настраиваться, стартуем в 18",1705006800.0,2024,1,12,14,46,28
30,2074,262511011,salnikovev,Evgeniy Salnikov,1935491788,[a23] Машинное обучение (ML),"ГПТ не знает, что за бомбы",1705006800.0,2024,1,12,14,46,20
31,2073,262511011,salnikovev,Evgeniy Salnikov,1935491788,[a23] Машинное обучение (ML),Это какой часовой пояс? Куба?,1705006800.0,2024,1,12,14,46,10
32,2072,5036101925,vadim_mipt,Vadim S,1935491788,[a23] Машинное обучение (ML),В 9;55,1705006800.0,2024,1,12,14,45,49
33,2071,1670797339,Chew13,Aleksandr Chuprin,1935491788,[a23] Машинное обучение (ML),бомба с секретным кодом,1705006800.0,2024,1,12,14,45,48
34,2070,263945854,mzekhov,Матвей Зехов,1935491788,[a23] Машинное обучение (ML),Можно заходить в зум и настраиваться,1705006800.0,2024,1,12,14,45,47
35,2069,5036101925,vadim_mipt,Vadim S,1935491788,[a23] Машинное обучение (ML),Подключаемся во сколько ?,1705006800.0,2024,1,12,14,45,45
36,2068,262511011,salnikovev,Evgeniy Salnikov,1935491788,[a23] Машинное обучение (ML),Да что за бомбы. Куда бомбу то подкладывать?,1705006800.0,2024,1,12,14,44,52
37,2067,5036101925,vadim_mipt,Vadim S,1935491788,[a23] Машинное обучение (ML),Можете плез ответить,1705006800.0,2024,1,12,14,44,14
38,2066,497800113,DDmmiittrryy,Dmitry Shiltsov 🇪🇸 🇷🇺 🏴‍☠,1935491788,[a23] Машинное обучение (ML),Код который до экзамена никто не знает. Исключает вариант подсунуть готовую бомбу и по ней отвечать,1705006800.0,2024,1,12,14,43,18
39,2065,1670797339,Chew13,Aleksandr Chuprin,1935491788,[a23] Машинное обучение (ML),"секретный, никому не говори",1705006800.0,2024,1,12,14,43,5
40,2064,497800113,DDmmiittrryy,Dmitry Shiltsov 🇪🇸 🇷🇺 🏴‍☠,1935491788,[a23] Машинное обучение (ML),Нам в бытность студенческую злые преподы ставили подписи на листках для подготовки.,1705006800.0,2024,1,12,14,42,40
41,2063,5036101925,vadim_mipt,Vadim S,1935491788,[a23] Машинное обучение (ML),Что за код?,1705006800.0,2024,1,12,14,42,37
42,2062,1670797339,Chew13,Aleksandr Chuprin,1935491788,[a23] Машинное обучение (ML),этот секретный код на всех листах напишет твой подельник),1705006800.0,2024,1,12,14,41,50
43,2061,349015792,supostatka,ксения,1935491788,[a23] Машинное обучение (ML),ранее ответили: https://t.me/c/1935491788/2/2040,1705006800.0,2024,1,12,14,41,32
44,2060,497800113,DDmmiittrryy,Dmitry Shiltsov 🇪🇸 🇷🇺 🏴‍☠,1935491788,[a23] Машинное обучение (ML),Можно и заранее в телефон шпоры сфоткать. И тп. Чтобы этого избежать нужно чтобы перед началом был озвучен секретный код который каждый должен написать на листах :)),1705006800.0,2024,1,12,14,41,24
45,2059,129373523,lKhoroshenina,Лилия Олеговна,1935491788,[a23] Машинное обучение (ML),"ну кстати да, на телефоне тогда тоже уже могут быть все эти сканы)",1705006800.0,2024,1,12,14,41,21
46,2058,5036101925,vadim_mipt,Vadim S,1935491788,[a23] Машинное обучение (ML),И ещё мы сдаём все вместе или можно раньше ? Надо объявлять что сдаю раньше или просто фоткаю и сдаю,1705006800.0,2024,1,12,14,40,45
47,2057,1670797339,Chew13,Aleksandr Chuprin,1935491788,[a23] Машинное обучение (ML),ну если они отсканированы заранее как тебе камера поможет?),1705006800.0,2024,1,12,14,40,13
48,2056,129373523,lKhoroshenina,Лилия Олеговна,1935491788,[a23] Машинное обучение (ML),"Выглядит слишком сложно, но мб мб)",1705006800.0,2024,1,12,14,39,33
